node1,node2,count,color,strength
401.9,I10,1964,blue,39.28
F41.1,I10,2270,blue,45.4
E78.5,I10,1447,blue,28.94
F32.9,I10,1266,blue,25.32
F41.9,I10,1539,blue,30.78
F41.1,R10.9,1897,blue,37.94
F41.9,R10.9,1362,blue,27.24
F32.9,F41.1,2282,blue,45.64
F41.1,F41.9,2977,blue,59.54
F32.9,F41.9,1772,blue,35.44
F41.1,R30.0,1294,blue,25.88
786.2,R53.83,1292,blue,25.84
R05,R53.83,1551,blue,31.02
F41.1,R53.83,2263,blue,45.26
E66.9,F41.1,1567,blue,31.34
278.00,F41.1,1485,blue,29.7
786.2,F41.1,2242,blue,44.84
F41.1,R05,2792,blue,55.84
R05,R06.02,1343,blue,26.86
786.50,F41.1,1657,blue,33.14
R05,R07.9,1281,blue,25.62
789.00,F41.1,1390,blue,27.8
F41.1,R07.9,1788,blue,35.76
F41.9,R07.9,1319,blue,26.38
784.0,F41.1,1537,blue,30.74
F41.1,R51,1744,blue,34.88
F41.1,R11.0,1390,blue,27.8
F41.1,R19.7,1430,blue,28.6
